query_label	job_title	closest_job_title	distance	rank
0	chief executives	chief executives	0	1
0	chief executives	aeronautics commission director	0	2
0	chief executives	agricultural services director	0	3
0	chief executives	alcohol and drug abuse assistance program administrator	0	4
0	chief executives	arts and humanities council director	0	5
1	chief sustainability officers	chief sustainability officers	0	1
1	chief sustainability officers	chief environmental commitment officer ceco	0	2
1	chief sustainability officers	chief green officer cgo	0	3
1	chief sustainability officers	corporate sustainability process manager	0	4
1	chief sustainability officers	director of sustainability	0	5
2	general and operations managers	general and operations managers	0	1
2	general and operations managers	adjutant general	0	2
2	general and operations managers	adult daycare coordinator	0	3
2	general and operations managers	assistant manager	0	4
2	general and operations managers	building manager	0	5
3	legislators	legislators	0	1
3	legislators	alderman	0	2
3	legislators	assembly member	0	3
3	legislators	assembly person	0	4
3	legislators	assemblyman or woman	0	5
4	advertising and promotions managers	advertising and promotions managers	0	1
4	advertising and promotions managers	account director	0	2
4	advertising and promotions managers	account executive	0	3
4	advertising and promotions managers	account manager	0	4
4	advertising and promotions managers	account specialist	0	5
5	green marketers	green marketers	0	1
5	green marketers	environmental marketer	0	2
5	green marketers	environmental marketing representative	0	3
5	green marketers	green energy marketing analyst	0	4
5	green marketers	green marketer	0	5
6	marketing managers	marketing managers	0	1
6	marketing managers	account supervisor	0	2
6	marketing managers	brand manager	0	3
6	marketing managers	bridal consultant	0	4
6	marketing managers	business developer	0	5
7	sales managers	sales managers	0	1
7	sales managers	area sales manager	0	2
7	sales managers	artist relationship manager	0	3
7	sales managers	auto dealer automobile dealer	0	4
7	sales managers	business developer	0	5
8	public relations and fundraising managers	public relations and fundraising managers	0	1
8	public relations and fundraising managers	account executive	0	2
8	public relations and fundraising managers	account manager	0	3
8	public relations and fundraising managers	account supervisor	0	4
8	public relations and fundraising managers	alumni relations coordinator	0	5
9	administrative services managers	administrative services managers	0	1
9	administrative services managers	administrative assistant	0	2
9	administrative services managers	administrative coordinator	0	3
9	administrative services managers	administrative director	0	4
9	administrative services managers	administrative manager	0	5
10	computer and information systems managers	computer and information systems managers	0	1
10	computer and information systems managers	application development director	0	2
10	computer and information systems managers	business analyst	0	3
10	computer and information systems managers	business intelligence systems manager	0	4
10	computer and information systems managers	chief information officer	0	5
11	financial managers	financial managers	0	1
11	financial managers	banking center manager	0	2
11	financial managers	banking manager	0	3
11	financial managers	city comptroller	0	4
11	financial managers	city treasurer	0	5
12	treasurers and controllers	treasurers and controllers	0	1
12	treasurers and controllers	business manager	0	2
12	treasurers and controllers	chief financial officer cfo	0	3
12	treasurers and controllers	chief school finance officer	0	4
12	treasurers and controllers	city comptroller	0	5
13	financial managers branch or department	financial managers branch or department	0	1
13	financial managers branch or department	account manager	0	2
13	financial managers branch or department	accountant supervisor	0	3
13	financial managers branch or department	accounts manager	0	4
13	financial managers branch or department	accounts supervisor	0	5
14	industrial production managers	industrial production managers	0	1
14	industrial production managers	area plant manager	0	2
14	industrial production managers	branch manager	0	3
14	industrial production managers	brewing director	0	4
14	industrial production managers	bulk plant manager	0	5
15	quality control systems managers	quality control systems managers	0	1
15	quality control systems managers	associate director qa	0	2
15	quality control systems managers	director of quality	0	3
15	quality control systems managers	lab manager	0	4
15	quality control systems managers	laboratory manager	0	5
16	geothermal production managers	geothermal production managers	0	1
16	geothermal production managers	decommissioning well site manager	0	2
16	geothermal production managers	geothermal operations engineer	0	3
16	geothermal production managers	geothermal operations manager	0	4
16	geothermal production managers	geothermal plant manager	0	5
17	biofuels production managers	biofuels production managers	0	1
17	biofuels production managers	biodiesel operations manager	0	2
17	biofuels production managers	biodiesel plant manager	0	3
17	biofuels production managers	biodiesel plant operations engineer	0	4
17	biofuels production managers	biodiesel plant superintendent	0	5
18	biomass power plant managers	biomass power plant managers	0	1
18	biomass power plant managers	biomass plant manager	0	2
18	biomass power plant managers	biomass power plant manager	0	3
18	biomass power plant managers	biomass power plant superintendent	0	4
18	biomass power plant managers	biomass production manager	0	5
19	methanelandfill gas collection system operators	methanelandfill gas collection system operators	0	1
19	methanelandfill gas collection system operators	collection systems administrator	0	2
19	methanelandfill gas collection system operators	collection systems consultant	0	3
19	methanelandfill gas collection system operators	collection systems foreman	0	4
19	methanelandfill gas collection system operators	collection systems modeler	0	5
20	hydroelectric production managers	hydroelectric production managers	0	1
20	hydroelectric production managers	chief hydroelectric station operator	0	2
20	hydroelectric production managers	demand generation manager	0	3
20	hydroelectric production managers	generation manager	0	4
20	hydroelectric production managers	hydro generation manager	0	5
21	purchasing managers	purchasing managers	0	1
21	purchasing managers	buyer	0	2
21	purchasing managers	circuit rider	0	3
21	purchasing managers	circuit walker	0	4
21	purchasing managers	commissary superintendent	0	5
22	transportation storage and distribution managers	transportation storage and distribution managers	0	1
22	transportation storage and distribution managers	airport manager	0	2
22	transportation storage and distribution managers	cold storage supervisor	0	3
22	transportation storage and distribution managers	distribution center manager	0	4
22	transportation storage and distribution managers	logistics manager	0	5
23	transportation managers	transportation managers	0	1
23	transportation managers	aerial planting and cultivation manager	0	2
23	transportation managers	airline dispatcher	0	3
23	transportation managers	airline manager	0	4
23	transportation managers	airline managerial supervisor	0	5
24	storage and distribution managers	storage and distribution managers	0	1
24	storage and distribution managers	ammunition storage superintendent	0	2
24	storage and distribution managers	building supervisor	0	3
24	storage and distribution managers	bulk plant manager	0	4
24	storage and distribution managers	cold storage supervisor	0	5
25	logistics managers	logistics managers	0	1
25	logistics managers	air export logistics manager	0	2
25	logistics managers	contract manager	0	3
25	logistics managers	corporate logistics manager	0	4
25	logistics managers	corporate traffic manager	0	5
26	compensation and benefits managers	compensation and benefits managers	0	1
26	compensation and benefits managers	benefit director	0	2
26	compensation and benefits managers	benefits administrator	0	3
26	compensation and benefits managers	benefits coordinator	0	4
26	compensation and benefits managers	benefits manager	0	5
27	human resources managers	human resources managers	0	1
27	human resources managers	apprenticeship training representative	0	2
27	human resources managers	benefit director	0	3
27	human resources managers	benefits manager	0	4
27	human resources managers	commissioner of conciliation	0	5
28	training and development managers	training and development managers	0	1
28	training and development managers	apprenticeship consultant	0	2
28	training and development managers	apprenticeship training representative	0	3
28	training and development managers	development associate	0	4
28	training and development managers	development coordinator	0	5
29	farmers ranchers and other agricultural managers	farmers ranchers and other agricultural managers	0	1
29	farmers ranchers and other agricultural managers	farm and ranch managers	0.0666667	2
29	farmers ranchers and other agricultural managers	accredited farm manager afm	0.0666667	3
29	farmers ranchers and other agricultural managers	agricultural crop farm manager	0.0666667	4
29	farmers ranchers and other agricultural managers	agriculture manager	0.0666667	5
30	nursery and greenhouse managers	nursery and greenhouse managers	0	1
30	nursery and greenhouse managers	annual greenhouse manager	0	2
30	nursery and greenhouse managers	arboriculturist	0	3
30	nursery and greenhouse managers	bonsai culturist	0	4
30	nursery and greenhouse managers	christmas tree farm manager	0	5
31	farm and ranch managers	farm and ranch managers	0	1
31	farm and ranch managers	accredited farm manager afm	0	2
31	farm and ranch managers	agricultural crop farm manager	0	3
31	farm and ranch managers	agriculture manager	0	4
31	farm and ranch managers	animal husbandry manager	0	5
32	aquacultural managers	aquacultural managers	0	1
32	aquacultural managers	aquaculture cooperative marketing director	0	2
32	aquacultural managers	aquaculture director	0	3
32	aquacultural managers	aquaculture farm manager	0	4
32	aquacultural managers	aquaculture professor	0	5
33	construction managers	construction managers	0	1
33	construction managers	brickmason contractor	0	2
33	construction managers	bridges and buildings supervisor	0	3
33	construction managers	building construction contractor	0	4
33	construction managers	cement contractor	0	5
34	education administrators preschool and childcare centerprogram	education administrators preschool and childcare centerprogram	0	1
34	education administrators preschool and childcare centerprogram	administrator	0	2
34	education administrators preschool and childcare centerprogram	art coordinator	0	3
34	education administrators preschool and childcare centerprogram	assessment coordinator	0	4
34	education administrators preschool and childcare centerprogram	center administrator	0	5
35	education administrators elementary and secondary school	education administrators elementary and secondary school	0	1
35	education administrators elementary and secondary school	administrative assistant	0	2
35	education administrators elementary and secondary school	art coordinator	0	3
35	education administrators elementary and secondary school	assessment coordinator	0	4
35	education administrators elementary and secondary school	assistant principal	0	5
36	education administrators postsecondary	education administrators postsecondary	0	1
